q_dirs,traj,tr,delay,rep,paired_id,rmse_t3,rmse_honest,rmse_gap_t3_minus_honest
4,square,0.35,34,1,q4_square_tr0.35_d34_rep1,1.357819475657974,1.7329291077265252,-0.3751096320685512
4,square,0.35,34,2,q4_square_tr0.35_d34_rep2,1.343434962949519,1.7619943709959958,-0.41855940804647673
4,square,0.35,34,3,q4_square_tr0.35_d34_rep3,1.3967166274171818,1.7536601867821122,-0.3569435593649304
4,square,0.35,34,4,q4_square_tr0.35_d34_rep4,1.3260325162022322,1.833416286492235,-0.5073837702900028
4,square,0.35,34,5,q4_square_tr0.35_d34_rep5,1.3640684692176777,1.713873465354013,-0.3498049961363354
4,square,0.35,34,6,q4_square_tr0.35_d34_rep6,1.323679404833752,1.604180241822158,-0.2805008369884061
4,square,0.35,34,7,q4_square_tr0.35_d34_rep7,1.1974562519098402,1.7347457277113185,-0.5372894758014783
4,zigzag,0.25,12,0,q4_zigzag_tr0.25_d12_rep0,1.185380688320764,1.3526266284038817,-0.16724594008311766
4,zigzag,0.25,12,1,q4_zigzag_tr0.25_d12_rep1,1.2612312799353027,1.332319765101315,-0.0710884851660123
4,zigzag,0.25,12,2,q4_zigzag_tr0.25_d12_rep2,1.227780594100667,1.2075259264099303,0.020254667690736694
4,zigzag,0.25,12,3,q4_zigzag_tr0.25_d12_rep3,1.2020128595766455,1.1769302502583276,0.02508260931831785
